,État,Designer,Taille,En ligne depuis le,nom,prix
303,Très bon état,Gucci,S International,2022-04-06,"T-shirt bleu foncé avec sérigraphie logo vert et rouge. Mesures: Longueur totale : 75 cm, largeur poitrine : 55 cm, largeur carrure : 49 cm, longueur de manche : 22 cm. Composition: 100% Coton. Made in Italy. Vendu avec tag, sachet, sac sho...Lire la suiteTraduire","180 €
+15 € Contrôle et authentification"
304,Jamais porté avec étiquette,Nike,M International,2022-03-23,"T-Shirt nike Blanc Homme et Femme 
Taille M
Authentique ✅
Neuf avec étiquette 🏷
35€ NégociableTraduire",28 €
305,Jamais porté,Prada,M International,2022-03-26,"T-shirt Prada super doux et léger 
 Jamais utilisé, TRÈS BON ÉTATTraduire","133,51 €"
306,Très bon état,Gucci,44 IT,2022-03-21,T-shirt Gucci oversizeTraduire,170 €
307,Jamais porté avec étiquette,Burberry,L International,2022-03-17,T-shirt Burberry en cotonTraduire,"91,74 €"
308,Très bon état,Acne Studios,L International,2022-04-06,T-shirt Acne Studios. Taille L (UE). Très bonne condition.Traduire,"64,83 €
+15 € Contrôle et authentification"
309,Très bon état,Jean Paul Gaultier,M International,2022-03-20,"T-shirt classique, couleur délicate, coupe parfaiteTraduire",56 €
310,Jamais porté avec étiquette,Kenzo,S International,2022-03-24,"T-Shirt KENZO Paris Tigre Blanc 

Emballage NEUF et d'origine.

◆ T-Shirt KENZO Paris
◆ Modèle : T-SHIRT TIGRE [ [2]]◆ Matière : 100 % coton
◆ Toutes les étiquettes disponibles

FABRIQUÉ AU PORTUGAL
Traduire",50 €
311,Très bon état,Comme Des Garcons,M International,2022-04-01,"T-shirt Comme Des Garçons
Taille M
Cond 9/10 usure générale aucun défaut
Seulement étiquettes lavées à l'intérieur
Dimensions 
Longueur 66 cm[ [2]]Largeur 51 cm
Traduire","38,57 €"
312,Jamais porté,No Collection,14 years - S UK,2022-04-03,T-shirt fille d'anniversaireTraduire,20 €
313,Jamais porté avec étiquette,Palm Angels,M International,2022-03-02,"T-shirt col rond Palm Angels en coton jaune. Le modèle présente des manches courtes, des bords droits, un imprimé ours frontal et un logo.
Look vintage, jamais porté.
Taille M, taille normalement.Traduire",105 €
314,Très bon état,Saint Laurent,L International,2022-03-13,T shirt Saint Laurent in cotoneTraduire,90 €
315,Très bon état,Prada,M International,2022-04-07,"T-shirt Prada avec imprimé, très bon étatTraduire","72 €
+15 € Contrôle et authentification"
316,Très bon état,Balenciaga,S International,2022-04-06,"T-shirt long, type tunique, longueur asymétrique. Taille S, état impeccableTraduire","136 €
+15 € Contrôle et authentification"
317,Jamais porté,Victoria Beckham,L International,2022-03-19,T Shirt Victoria Beckham tala LTraduire,41 €
318,Jamais porté avec étiquette,Nike,M International,2022-03-21,"T-shirt Sport Dry Technology 
 Jamais porté avec étiquetteTraduire",20 €
319,Très bon état,Chanel,38 IT,2022-03-23,"T-shirt Chanel avec de minuscules perles sur le devant et sur les manches. Ancien. La couleur est blanche (un peu comme l'ivoire). Très bonne condition. Il s'agit d'un article d'occasion, il présente des signes d'usure normaux. La mesure; f...Lire la suiteTraduire","231,28 €"
320,Très bon état,Off-White,XL International,2022-03-27,T-shirt coupe standard blanc cassé. Conditions parfaites. Modèle OMAA027R19185004Traduire,"119 €
+15 € Contrôle et authentification"
321,Jamais porté,Isabel Marant Etoile,36 FR,2022-04-06,"T-shirt Isabel Marant Etoile avec imprimé. 100% Coton. Neuf, jamais porté.Traduire",65 €
322,Jamais porté avec étiquette,Palm Angels,S International,2022-03-22,"T-shirt violet 
 Palm Angels 
 Oversize 
 Imprimé « Air » sur le devant en noir, bleu et rose 
 Taches bleues et roses dans le dos [[2] ] 100% coton 
 Taille sTraduire",170 €
323,Très bon état,Yeezy,48 FR,2022-03-25,"T-SHIRT THERMIQUE À MANCHES LONGUES YEEZY SEASON 1
VERT FUSIL

100 % coton
Encolure et poignets côtelés
Surface texturée
Fabriqué en Europe

COUPE OVERSIZETraduire","180 €
+15 € Contrôle et authentification"
324,Jamais porté,Gucci,M International,2022-02-28,"T-shirt GUCCI authentique pour homme 
Taille moyenne
Jamais porté en parfait état
Tout neuf avec étiquette
100 % authentique acheté auprès d'un détaillant réputé
PVC environ 250£
Ouvert aux offresTraduire","155,05 €"
325,Très bon état,Balenciaga,36 FR,2022-04-06,"T-shirt Balenciaga en jersey bordé de cuir. Réalisé en jersey noir avec bordure en cuir le long du col et des manches. Le noir. Manches courtes, col rond. S'enfile. 100% Viscose. Taille : FR 36 (UK 8, US 4, IT 40). Buste : 36 po. Tour de ta...Lire la suiteTraduire","116,29 €
+15 € Contrôle et authentification"
326,Bon état,Alexander McQueen,M International,2022-03-22,T-shirt MCQ ALEXANDER MCQUEEN en 100% coton. Bon état avec col légèrement jauni et petite tache au dos. Taille M.Traduire,60 €
327,Jamais porté,Ganni,M International,2022-03-13,T-shirt uni avec logo G amovible.Traduire,"54,27 €"
328,Très bon état,Prada,L International,2022-04-07,T-Shirt Prada viola a mezze manicheTraduire,"72 €
+15 € Contrôle et authentification"
329,Jamais porté,Fendi,S International,2022-03-19,"T-shirt FENDI ROMA AMOR dans les tons rouge brique, jaune ocre et vert mélangé. Lettrage Fendi sur une manche. Coupe ajustée. Pièce de collection.Traduire",145 €
330,Jamais porté,Calvin Klein,S International,2022-04-07,T-shirt noir Calvin Klein neufTraduire,"20 €
+15 € Contrôle et authentification"
331,Très bon état,Parajumpers,L International,2022-03-24,"T-shirt Parajumpers Flags Polo 
 État d'occasion mais impeccable ; 
 Grand logo et graphique de drapeaux au dos ; 
 Taille homme L (LARGE) ; 
 Expédition DHLTraduire",49 €
332,Jamais porté avec étiquette,Palm Angels,S International,2022-03-17,"T-shirt Palm Angels Forest Green Sprayed Bear Logo



-Taille S Coupe classique
-Neuf avec étiquette
- FW21
-L'un des designs les plus emblématiques et les plus recherchés de PA
-Prix conseillé 360 $

D'une fosse à l'autre : 50 cm
Épaules :...Lire la suiteTraduire","232,57 €
+15 € Contrôle et authentification"
333,Très bon état,Vivienne Westwood,L International,2022-04-05,"T-shirt Vivienne Westwood bleu avec écriture sur le devant, fentes sur le bas, taille L. Très bon état.Traduire","60 €
+15 € Contrôle et authentification"
334,Jamais porté,Off-White,S International,2022-04-04,"T-shirt blanc cassé à manches longues 

Tout neuf 

Taille petitTraduire","173,14 €"
335,Jamais porté,No Collection,14 years - S UK,2022-04-03,T-shirt fille d'anniversaireTraduire,20 €
336,Jamais porté avec étiquette,Palm Angels,M International,2022-03-02,"T-shirt col rond Palm Angels en coton jaune. Le modèle présente des manches courtes, des bords droits, un imprimé ours frontal et un logo.
Look vintage, jamais porté.
Taille M, taille normalement.Traduire",105 €
337,Très bon état,Saint Laurent,L International,2022-03-13,T shirt Saint Laurent in cotoneTraduire,90 €
338,Très bon état,Prada,M International,2022-04-07,"T-shirt Prada avec imprimé, très bon étatTraduire","72 €
+15 € Contrôle et authentification"
339,Très bon état,Balenciaga,S International,2022-04-06,"T-shirt long, type tunique, longueur asymétrique. Taille S, état impeccableTraduire","136 €
+15 € Contrôle et authentification"
340,Jamais porté,Victoria Beckham,L International,2022-03-19,T Shirt Victoria Beckham tala LTraduire,41 €
341,Jamais porté avec étiquette,Nike,M International,2022-03-21,"T-shirt Sport Dry Technology 
 Jamais porté avec étiquetteTraduire",20 €
342,Très bon état,Chanel,38 IT,2022-03-23,"T-shirt Chanel avec de minuscules perles sur le devant et sur les manches. Ancien. La couleur est blanche (un peu comme l'ivoire). Très bonne condition. Il s'agit d'un article d'occasion, il présente des signes d'usure normaux. La mesure; f...Lire la suiteTraduire","231,28 €"
343,Très bon état,Off-White,XL International,2022-03-27,T-shirt coupe standard blanc cassé. Conditions parfaites. Modèle OMAA027R19185004Traduire,"119 €
+15 € Contrôle et authentification"
344,Jamais porté,Isabel Marant Etoile,36 FR,2022-04-06,"T-shirt Isabel Marant Etoile avec imprimé. 100% Coton. Neuf, jamais porté.Traduire",65 €
345,Jamais porté avec étiquette,Palm Angels,S International,2022-03-22,"T-shirt violet 
 Palm Angels 
 Oversize 
 Imprimé « Air » sur le devant en noir, bleu et rose 
 Taches bleues et roses dans le dos [[2] ] 100% coton 
 Taille sTraduire",170 €
346,Très bon état,Yeezy,48 FR,2022-03-25,"T-SHIRT THERMIQUE À MANCHES LONGUES YEEZY SEASON 1
VERT FUSIL

100 % coton
Encolure et poignets côtelés
Surface texturée
Fabriqué en Europe

COUPE OVERSIZETraduire","180 €
+15 € Contrôle et authentification"
347,Jamais porté,Gucci,M International,2022-02-28,"T-shirt GUCCI authentique pour homme 
Taille moyenne
Jamais porté en parfait état
Tout neuf avec étiquette
100 % authentique acheté auprès d'un détaillant réputé
PVC environ 250£
Ouvert aux offresTraduire","155,05 €"
348,Très bon état,Balenciaga,36 FR,2022-04-06,"T-shirt Balenciaga en jersey bordé de cuir. Réalisé en jersey noir avec bordure en cuir le long du col et des manches. Le noir. Manches courtes, col rond. S'enfile. 100% Viscose. Taille : FR 36 (UK 8, US 4, IT 40). Buste : 36 po. Tour de ta...Lire la suiteTraduire","116,29 €
+15 € Contrôle et authentification"
349,Bon état,Alexander McQueen,M International,2022-03-22,T-shirt MCQ ALEXANDER MCQUEEN en 100% coton. Bon état avec col légèrement jauni et petite tache au dos. Taille M.Traduire,60 €
350,Jamais porté,Ganni,M International,2022-03-13,T-shirt uni avec logo G amovible.Traduire,"54,27 €"
351,Très bon état,Prada,L International,2022-04-07,T-Shirt Prada viola a mezze manicheTraduire,"72 €
+15 € Contrôle et authentification"
352,Jamais porté,Fendi,S International,2022-03-19,"T-shirt FENDI ROMA AMOR dans les tons rouge brique, jaune ocre et vert mélangé. Lettrage Fendi sur une manche. Coupe ajustée. Pièce de collection.Traduire",145 €
353,Jamais porté,Calvin Klein,S International,2022-04-07,T-shirt noir Calvin Klein neufTraduire,"20 €
+15 € Contrôle et authentification"
354,Très bon état,Parajumpers,L International,2022-03-24,"T-shirt Parajumpers Flags Polo 
 État d'occasion mais impeccable ; 
 Grand logo et graphique de drapeaux au dos ; 
 Taille homme L (LARGE) ; 
 Expédition DHLTraduire",49 €
355,Jamais porté avec étiquette,Palm Angels,S International,2022-03-17,"T-shirt Palm Angels Forest Green Sprayed Bear Logo



-Taille S Coupe classique
-Neuf avec étiquette
- FW21
-L'un des designs les plus emblématiques et les plus recherchés de PA
-Prix conseillé 360 $

D'une fosse à l'autre : 50 cm
Épaules :...Lire la suiteTraduire","232,57 €
+15 € Contrôle et authentification"
356,Très bon état,Vivienne Westwood,L International,2022-04-05,"T-shirt Vivienne Westwood bleu avec écriture sur le devant, fentes sur le bas, taille L. Très bon état.Traduire","60 €
+15 € Contrôle et authentification"
357,Jamais porté,Off-White,S International,2022-04-04,"T-shirt blanc cassé à manches longues 

Tout neuf 

Taille petitTraduire","173,14 €"
358,Très bon état,Supreme,M International,2022-04-04,"T-shirt à manches longues pour homme. Peu porté, état neuf.Traduire","63,31 €
+15 € Contrôle et authentification"
359,Très bon état,Gucci,S International,2022-04-04,"T-shirt Gucci Oversize imprimé GG - Taille (S) 
 
 porté très peu de fois en parfait état 
 
 Discrétion du produit : 
 [ [ 2]] Code produit : 493117 X3Q35 7561 
 
 Le t-shirt oversize distinctif imprimé du logo de la Maison est mis à jour ...Lire la suiteTraduire",236 €
360,Très bon état,Salvatore Ferragamo,S International,2022-03-27,T-shirt manches courtes en laine et soie. Longueur depuis l'épaule environ 50 cm. Sans défautsTraduire,44 €
361,Très bon état,Acne Studios,XS International,2022-04-06,"T-shirt graphique Acne Studios en très bon état.
Belle combinaison de couleurs délavées, marron brûlé/orange, noir et vert clair. XS mais taille grand.Traduire",68 €
362,Jamais porté avec étiquette,Saint Laurent,L International,2022-03-12,"T shirt Saint Laurent 100% coton 
 Buste 60,5 cm 
 Epaules 57 cm 
 Manches 25 cm 
 Longueur 67,5 cm 
 Neuf jamais portéTraduire","110 €
+15 € Contrôle et authentification"
363,Jamais porté avec étiquette,Gucci,4 years - until 40 inches UK,2022-03-15,"T-shirt Guccis Unisex toodler 
Pour 4 ans 
Tout neuf 
100% cotonTraduire","90,44 €"
364,Jamais porté avec étiquette,Isabel Marant,42 FR,2022-03-13,T-shirt Goyela tg. FR. 42Traduire,99 €
365,Jamais porté avec étiquette,Balenciaga,M International,2022-02-07,T-shirt oversize Balenciaga ResortTraduire,250 €
366,Jamais porté avec étiquette,Gucci,XS International,2022-04-05,t shirt femme gucci taille xs neuf avec étiquetteTraduire,"321,72 €
+15 € Contrôle et authentification"
367,Jamais porté,Prada,XL International,2022-03-18,T-shirt noir avec poche XLTraduire,"108 €
+15 € Contrôle et authentification"
368,Très bon état,Fendi,XS International,2022-03-24,T-shirt Fendi EyeTraduire,"167,97 €"
369,Très bon état,Ralph Lauren,S International,2022-04-07,"T-shirt Ralph Lauren en coton blanc 
Taille S
Très bon état !Traduire","28 €
+15 € Contrôle et authentification"
370,Jamais porté,Sonia Rykiel,M International,2022-04-07,t-shirt blanc  relativement long en viscose avec couple de perroquets brodés dessusTraduire,"45 €
+15 € Contrôle et authentification"
371,Très bon état,Balenciaga,S International,2022-03-14,T-shirt Balenciaga porté une seule fois taille STraduire,90 €
372,Très bon état,Liu.Jo,XS International,2022-04-05,T-shirt LIU JO en coton blanc avec logo embelli. Il a été porté mais est comme neuf. Aucun défaut. Taille XS.Traduire,20 €
373,Jamais porté,Balenciaga,M International,2022-03-07,"T-shirt Balenciaga

- se détendre avec style
-noir/blanc
-coton
-col rond
-manches courtes 
-logo imprimé sur le devant
-ourlet droit

Jamais porté ! 
Il n'y a aucun défaut notable. 
Traduire",170 €
374,Jamais porté,Saint Laurent,42 IT,2022-04-05,"T-shirt Saint Laurent de la collection Free bird, pur coton, noir avec imprimé. neuf avec étiquette et sac d'origine. confortable taille MTraduire","130 €
+15 € Contrôle et authentification"
375,Jamais porté avec étiquette,Palm Angels,S International,2022-03-15,"T-shirt bordeaux Palm Angels Kill The Bear



-Taille S Coupe classique
-Neuf avec étiquette
-FW21 
-RRP $360

Dosse à fosse : 51 cm
Épaules : 52 cm
Longueur : 70 cmTraduire","239,03 €
+15 € Contrôle et authentification"
376,Jamais porté,Saint Laurent,M International,2022-04-05,"T-shirt Saint Laurent en coton 
 Couleur noir, taille M. 
 NeufTraduire","195 €
+15 € Contrôle et authentification"
377,Très bon état,Junya Watanabe,M International,2022-03-23,"T-shirt Junya Watanabe Comme des Garçons, taglia M, parte frontale con paillettes e trasparenze.

Traduire",90 €
378,Très bon état,Burberry,48 FR,2022-04-06,"t-shirt Burberry, fond blanc et rayures et logo de couleur, (il y a la jupe assortie) t-shirt taille 48, comme neuf, mesures d'emmanchure à emmanchure 56cm et longueur 63cm, occasionTraduire","58 €
+15 € Contrôle et authentification"
379,Très bon état,Comme Des Garcons,L International,2022-03-29,T-shirt blanc en parfait état porté peu de fois.Traduire,"51,68 €"
380,Jamais porté,Calvin Klein,S International,2022-04-07,T-shirt neuf Bordeau Calvin KleinTraduire,"20 €
+15 € Contrôle et authentification"
381,Jamais porté avec étiquette,Anine Bing,M International,2022-04-03,"T-shirt ANINE BING
T-shirt Terry O'Neill x Daye Dunaway

Neuf avec étiquettes, jamais porté

Taille M, épaules tombantes, légèrement surdimensionné

Prix d'origine 99€Traduire",59 €
382,Très bon état,Saint Laurent,S International,2022-04-06,"T-shirt Saint Laurent en jersey imprimé léopard. En jersey noir et blanc à imprimé léopard dans une coupe slim. Noir et blanc. Manches courtes, col rond. S'enfile. 100% Viscose. Taille : Petit (UK 8, US 4, FR 36, IT 40). Buste : 29,2 po. To...Lire la suiteTraduire","180,89 €
+15 € Contrôle et authentification"
383,Très bon état,Louis Vuitton,S International,2022-04-06,"T-shirt blanc Louis Vuitton avec inscription Louis Vuitton devant et dos. 100% Coton. Mensurations : longueur 69 cm, épaules 43 cm, poitrine 49 cm. En excellent état.Traduire",270 €
384,Bon état,Vivienne Westwood,L International,2022-04-04,T shirt nera Vivienne Westwood Man taglia L in cotone con spacchetti in fondo è disegno logo sul fronte.Traduire,"45 €
+15 € Contrôle et authentification"
385,Très bon état,Zadig & Voltaire,S International,2022-04-05,"T-shirt en jersey de coton noir Zadig & Voltaire. 
100 % coton. Taille : S (INTL). Montage régulier. 
Petit logo brodé sur le devant (gauche).Traduire","30 €
+15 € Contrôle et authentification"
386,Très bon état,Off-White,S International,2022-03-01,"T-shirt Off White

Taille S mais coupe oversize 

Je mesure 1,86 cmTraduire","112,93 €"
387,Jamais porté avec étiquette,Brunello Cucinelli,XL International,2022-04-08,"T-shirt en coton blanc. Encolure ronde avec détail de finition gris et chaîne. Manches courtes. Fermeture boutonnée au dos. Taille XL, longueur 69 cm. 94% coton 6% élasthanneTraduire","150 €
+15 € Contrôle et authentification"
388,Très bon état,Moncler,XS International,2022-04-05,T-shirt moncler peu utilisé taille xsTraduire,"49 €
+15 € Contrôle et authentification"
389,Très bon état,Saint Laurent,XS International,2022-04-06,"T-shirt en jersey imprimé Saint Laurent. En jersey noir et blanc avec imprimé tigre et coupe ajustée. Noir et blanc. Manches courtes, col rond. S'enfile. 100% Viscose. Taille : XSmall (UK 6, US 2, FR 34, IT 38). Buste : 31,4 po. Tour de tai...Lire la suiteTraduire","180,89 €
+15 € Contrôle et authentification"
390,Jamais porté,Gucci,XXL International,2022-02-16,"T-shirt Gucci avec broderie cœur.
 Porté une seule fois, il ne présente aucun type de dommage ou d'usure.Traduire",210 €
391,Très bon état,Christopher Kane,XS International,2022-04-06,"T-shirt visage de Christopher Kane Reisenbauer. T-shirt gris uni avec broderie patch visage.
Petit accroc sur la broderie comme sur la photo mais sinon parfait état. Porté une seule fois.

Taille : XS (Unisexe)Traduire","74,94 €
+15 € Contrôle et authentification"
392,Très bon état,Yves Saint Laurent,XL International,2022-03-03,"T-shirt monogramme Ysl bleu bébé
Excellent état - 0 taches ou trous juste un peu délavé
Dimensions : 
64 cm de long
57 cm de large 
Dm si vous avez des questions :)

Traduire","50,56 €"
393,Très bon état,Saint Laurent,36 IT,2022-04-06,"T-shirt en maille de soie Saint Laurent. En tricot de soie gris dans une coupe ample avec une poche sur la poitrine. Gris. Manches courtes, col en V. S'enfile. 100% Soie. Taille : IT 36 (UK 4, US 0, FR 32). Buste : 35,4 po. Tour de taille :...Lire la suiteTraduire","129,21 €
+15 € Contrôle et authentification"
394,Très bon état,Burberry,S International,2022-03-18,T-shirt manches longues - Burberry - Orange - Taille S - 90% Coton 10% Elasthanne - Très bon état - Référence 181030Traduire,"47 €
+15 € Contrôle et authentification"
395,Jamais porté,Prada,M International,2022-04-04,"T-shirt col bateau blanc. Avec enveloppe d'origine 
 
 NB J'ai recousu l'étiquette intérieure par le côté car elle s'était détachée. Etiquettes extérieures intactes.Traduire","115 €
+15 € Contrôle et authentification"
396,Bon état,Balenciaga,38 FR,2022-03-17,"T-shirt long imprimé blanc 
Taille et poignets élastiqués sur la mancheTraduire",70 €
397,Très bon état,Burberry,XS International,2022-03-10,t shirt Burberry taille xs en tissu stretch en excellent état avec col chemiseTraduire,45 €
398,Très bon état,Givenchy,XS International,2022-03-16,"T-shirt. Coupe très douce 
 En excellent étatTraduire",88 €
399,Jamais porté avec étiquette,Supreme x The North Face,L International,2022-04-04,T-shirt croquis Supreme x north faceTraduire,"80 €
+15 € Contrôle et authentification"
400,Jamais porté,Balenciaga,L International,2022-04-08,T-shirt boxy couture beigeTraduire,"380 €
+15 € Contrôle et authentification"
