,État,Marque,TAILLE,Date,nom,Prix,Description
191,TRÈS BON ÉTAT,NIKKIE,XXS / 32 / 4,2022-04-03,ZWART GOUD NIKKIE T-SHIRT MAAT 32,20.0,1 KEER GEDRAGEN DUS SUPER GOEDE STAAT !
192,TRÈS BON ÉTAT,RALPH LAUREN,XS / 34 / 6,2022-04-02,T-SHIRT RALPH LAUREN,24.0,"T-SHIRT RALPH LAUREN

-》TAILLE S MAIS CORRESPOND PLUS À UN XS
-》TRÈS BON ÉTAT, PETITS DÉFAUTS (PHOTO 6 ET 7)
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
193,TRÈS BON ÉTAT,TOMMY HILFIGER,XS,2022-04-03,T-SHIRT TOMMY HILFIGER T 176 CM,10.0,"PORTÉ MAIS ENCORE EN TRÈS BON ÉTAT 
PAS DE TACHES NI D’ACCROCS"
194,NEUF SANS ÉTIQUETTE,BERSHKA,XS / 34 / 6,2022-03-28,T-SHIRT JUSTA,3.5,T-SHIRT BERSHKA PRETA COM DETALHES VERMELHOS DE PEQUENAS CEREJAS
195,TRÈS BON ÉTAT,LEE,M,2022-04-03,🆒 LEE JEANS T-SHIRT 👕 VINTAGE 🆒,12.0,"LEE JEANS T-SHIRT 👕 VINTAGE
QUALIDADE LEE👌👌👌
LOGO BORDADO
TAMANHO M
MICRO RISCA - EFEITO LISO
🆒 LOOK!
SUPER EFEITO AZUL-CINZA-BEJE.
USADO ALGUMAS VEZES. 
DEIXOU DE SERVIR 😭
🔝🔝🔝
2 MINI RACHAS LATERAIS 🆒🆒🆒"
196,NEUF SANS ÉTIQUETTE,JACK & JONES,L,2022-04-02,LEBRON JAMES T-SHIRT JACK&JONSON,16.0,"QUESTA T-SHIRT MI È STATA REGALATA, MA NON L'HO MAI INDOSSATA PERCHÉ NON CORRISPONDE ALLA MIA TAGLIA."
197,TRÈS BON ÉTAT,LACOSTE,S,2022-04-02,T-SHIRT LACOSTE,28.0,"T-SHIRT LACOSTE

-》TAILLE S
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#LACOSTE"
198,NEUF AVEC ÉTIQUETTE,LEVI'S,S / 36 / 8,2022-04-09,T-SHIRT LEVIS 16 EUR PDT 1 HEURE,16.0,"BLANC , TAILLE S NEUF AVEC ÉTIQUETTE. VALEUR MAGASIN 35 EUR . #LEVIS #LEVISVINTAGE #LEVISTRAUSS #LEVISJEANS #TSHIRTLEVIS"
199,TRÈS BON ÉTAT,BLUE SEVEN,12-18 MOIS / 80-86 CM,2022-04-02,LOT 3 T-SHIRT BLUE SEVEN,7.0,"TBE, SAUF LE BLANC QUI BOULOCHE UN PEU.

🏵️ AYANT DES JUMELLES ET DONC BEAUCOUP DE VÊTEMENTS, N'HÉSITEZ PAS À UTILISER LES #, VISIBLES SUR MON PROFIL, POUR ALLER DIRECTEMENT SUR LES DIFFÉRENTES TAILLES 🏵️

#LATIFAVAT12MOIS"
200,NEUF SANS ÉTIQUETTE,,S,2022-04-06,T-SHIRT JUJUTSU KAISEN PINTADA Á MÃO,15.0,"T-SHIRT NUNCA USADA, PINTADA Á MÃO"
201,TRÈS BON ÉTAT,IZAC,M,2022-04-09,T-SHIRT BLANC IMPRIMÉ,8.5,TAILLE CORRECTEMENT
202,TRÈS BON ÉTAT,MONCLER,M,2022-04-09,T-SHIRT MONCLER,20.0,"T-SHIRT MONCLER TG. M. VESTE ADERENTE. ADATTO AD UNA S. 
#MONCLER #TSHIRT"
203,TRÈS BON ÉTAT,LEVI'S,M / 38 / 10,2022-04-01,LEVI’S T-SHIRT,13.0,"AMPER GEDRAGEN
FIJNE STOF 
VALT IETS KLEINER"
204,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,L,2022-04-06,T-SHIRT TOMMY HILFIGER,29.99,MAAT: L
205,NEUF SANS ÉTIQUETTE,ADIDAS,M / 38 / 10,2022-04-06,T-SHIRT ADIDAS ORIGINALS®,13.0,"T-SHIRT PORTÉ UNE FOIS, SERRE LÉGÈREMENT AU NIVEAU DU VENTRE."
206,TRÈS BON ÉTAT,RALPH LAUREN,M,2022-04-09,T-SHIRT RALPH LAUREN,35.0,"TRÈS BON ÉTAT
TAILLE M 
COL ROND"
207,TRÈS BON ÉTAT,2Y PREMIUM,L,2022-04-09,T-SHIRTS IMPRIMÉS / T-SHIRT,17.2,"TAILLE L
ORGANIQUE COTTON %100"
208,TRÈS BON ÉTAT,ADIDAS,XS / 34 / 6,2022-03-24,T-SHIRT,13.0,T-SHIRT CORTA ADIDAS BIANCA CON LOGO
209,NEUF AVEC ÉTIQUETTE,DIECI TEERS,S,2022-04-05,T-SHIRT DIECI,15.0,"BELLISSIMA T-SHIRT DIECI TEERS. TAGLIA S. VESTE LARGO. 
NUOVA CON CARTELLINO."
210,TRÈS BON ÉTAT,STEFANO MORTARI,S / 36 / 8,2022-04-04,STEFANO MORTARI. T-SHIRT BLU COBALTO,38.0,"INDOSSATA DIVERSE VOLTE, È SEMPLICE MA PARTICOLARE ALLO STESSO TEMPO PER LE PENCE LATERALI CHE LA RENDONO PIU AMPIA CONFERENDOLE UN DELICATO MOVIMENTO. OTTIMA VESTBILITA, SI LAVA E SI STIRA FACILMENTE. COLORE PERFETTO"
211,TRÈS BON ÉTAT,OFF-WHITE,M,2022-04-05,OFF-WHITE T-SHIRT,95.0,"OFF-WHITE T-SHIRT SIZE M, WORDT OVERSIZED GEDRAGEN DUS VALT QUA MAAT TUSSEN EEN M EN L

WEINIG GEDRAGEN, ORIGINEEL DUS GEEN IMITATIE!"
212,TRÈS BON ÉTAT,PATRIZIA PEPE,AUTRE,2022-03-25,T-SHIRT NERA PATRIZIA PEPE,16.0,T-SHIRT PATRIZIA PEPE NERA MANICA LUNGA MORBIDISSIMA. LOGO IN FONDO CON STRASS TAGLIA 1
213,NEUF SANS ÉTIQUETTE,IT HIPPIE,XXL / 44 / 16,2022-04-09,T SHIRT FLUIDE,8.0,"T SHIRT FLUIDE À FERMETURE ÉCLAIR AU DOS. TAILLE 44 MAIS TAILLE PETIT(PLUTÔT 40-42).
JAMAIS PORTÉ."
214,TRÈS BON ÉTAT,CARHARTT,S / 36 / 8,2022-04-03,T-SHIRT CARHARTT,18.0,PORTÉ UNE SEULE FOIS COMME NEUF
215,NEUF AVEC ÉTIQUETTE,JACADI,3-6 MOIS / 62-68 CM,2022-04-09,T-SHIRT NEUF ET ÉTIQUETÉ JACADI,9.0,"T-SHIRT NEUF ET ÉTIQUETÉ. 

JACADI

6 MOIS

COMPOSITION :100% COTON

 

FRAIS DE PORT: (GRATUIT POUR TOUTE COMMANDE DE 60€ MINIMUM)"
216,TRÈS BON ÉTAT,DOLCE & GABBANA,L,2022-04-09,T-SHIRT BY DOLCE & GABBANA,25.0,"*JAMAICA*
DOLCE&GABBANA T-SHIRT
SIZE: 48
A= 50CM (WIDTH)
B= 70CM (LENGTH)
INSIDE-OUT LOOK WITH DESTRESSED DETAILS.
HOW -REGGAE- IS THIS SHIRT FOR THE SUMMER OF 2022"
217,NEUF AVEC ÉTIQUETTE,NIKE,M / 38 / 10,2022-04-03,NIKE DRI-FIT MILER T-SHIRT,20.0,"PRODUIT : NIKE DRI-FIT MILER MEN’S T-SHIRT
TAILLE : M
ÉTAT : NEUF AVEC ÉTIQUETTE 
PRIX EN MAGASIN : 29,99€
NÉGOCIABLE : NON ❌

CHEZ NOUS: LES ENVOIS SE FONT UN JOUR APRÈS L’ACHAT DU PRODUIT (HORS WEEK-END) 📦
AUCUNE CONTREFAÇON. 🏷
POUR LA MOINDRE QUESTION JE SUIS À VOTRE DISPOSITION 👋🏻
CORDIALEMENT.
ZAURBEK63100 😇
OUBLIEZ PAS DE VOUS ABONNEZ IL Y AURA DES NOUVEAUTÉS !! ✅"
218,TRÈS BON ÉTAT,GUESS BY MARCIANO,L / 40 / 12,2022-04-09,T-SHIRT LEGGERISSIMA GUESS BY MARCIANO ZEBRATA,23.0,"T-SHIRT LÈGGERISSIMA GUESS BY MARCIANO ZEBRATA BIANCA E NERO. PROFONDO SCOLLO ROTONDO, TESSUTO ELASTICO E LOGO IN PICCOLI STRASS NERI. COME NUOVA INDOSSATA UNA VOLTA SOLA"
219,TRÈS BON ÉTAT,CALVIN KLEIN,M / 38 / 10,2022-03-24,T SHIRT DAMES CALVIN KLEIN,8.0,"IN ZEER GOEDE STAAT 😛👍 
MAAT M 
MAAK EEN BUNDEL VOOR LEUKE KORTINGEN"
220,NEUF SANS ÉTIQUETTE,NEW ERA,XS,2022-04-09,T-SHIRT/MAILLOT NEW ERA.,20.0,"T-SHIRT EN MATIÈRE ""MAILLOT"" NEW ERA. 
TRÈS PEU PORTÉ, TAILLE TRÈS OVERSIZE (C'EST UN XS, ET JE MET GÉNÉRALEMENT DU S).
UNISEXE.

N'HÉSITEZ PAS POUR PLUS D'INFORMATIONS 😊"
221,TRÈS BON ÉTAT,OPENING CEREMONY,S / 36 / 8,2022-04-09,T-SHIRT OPENING CEREMONY,25.0,"T-SHIRT FELPATA IN NERO CON GIROCOLLO E MANICHE CORTE OPENING CEREMONY. OTTIME CONDIZIONI, INDOSSATA POCHISSIMO."
222,NEUF AVEC ÉTIQUETTE,GUESS,S / 36 / 8,2022-04-09,T-SHIRT MC GUESS NEUF,20.0,"T-SHIRT BLANC ET MOTIF OR ROSÉ, TAILLE S, PRIX DE VENTE 40€.NEUF AVEC ÉTIQUETTE"
223,NEUF SANS ÉTIQUETTE,NIKE,XS / 34 / 6,2022-03-27,T-SHIRT SPORT NIKE,15.0,T-SHIRT SPORT NIKE NUOVA
224,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,M,2022-03-30,T-SHIRT TOMMY HILFIGER,32.5,MAAT : M
225,TRÈS BON ÉTAT,LACOSTE,XS,2022-04-09,T-SHIRT LACOSTE 🐊,45.0,"🎁 5€ DE RÉDUCTION POUR LES ABONNÉS 🎁 

💫 T-SHIRT LACOSTE 💫 

↪️ TAILLE XS
↪️ TRÈS BON ÉTAT GÉNÉRAL 
↪️ AUCUN DÉFAUT À DÉCLARER 
↪️ 100% AUTHENTIQUE 

🔍 CONDITION : 9/10 
🧽 ARTICLE LAVÉ AVANT L’ENVOI 
📦 COLIS EXPÉDIÉ SOUS 48H 

🙂 JE SUIS DISPONIBLE POUR LA MOINDRE QUESTION SUR LE PRODUIT, BON SHOPPING ! 🛍

#LACOSTE #LACOSTESPORT #LACOSTELIVE #TSHIRT #HAUT #BLANC"
226,TRÈS BON ÉTAT,SUPREME,L,2022-04-04,T-SHIRT SUPREME LIMONIOUS,60.0,"T-SHIRT SUPREME LIMONIUS IN PERFETTE CONDIZIONI, INDOSSATA UN PAIO DI VOLTE.
TAGLIA L
CONDIZIONI 10/10"
227,NEUF AVEC ÉTIQUETTE,MANGO,M,2022-03-31,T-SHIRT MANGO COTON COL TUNISIEN BLANC M ** NEUF AVEC ÉTIQUETTES SOUS BLISTER **,19.99,"🚚 EXPÉDITION SOUS 24H 🚚

 ▪️VENDEUR FIABLE & RÉACTIF▪️"
228,TRÈS BON ÉTAT,MTV,M,2022-03-19,T-SHIRT MTV HAMBURGHER,13.0,"#TSHIRT 
#TSHIRTUNISEX 
#TSHIRTMTV"
229,TRÈS BON ÉTAT,FRUIT OF THE LOOM,XXL,2022-04-05,HANDPAINTED BLEACH COUPLE T-SHIRT,25.0,HANDPAINTED UNIQUE TSHIRT MADE WITH BLEACH
230,TRÈS BON ÉTAT,IKKS,S / 36 / 8,2022-03-20,T-SHIRT GRIS CLAIR IKKS,8.0,"TRÈS JOLI T-SHIRT GRIS CLAIR IKKS
DÉTAILS SUR LES ÉPAULES
TAILLE S
TRÈS BON ÉTAT À PARTIR 2 TOUS PETITS TROUS EN BAS (VOIR PHOTOS)"
231,NEUF AVEC ÉTIQUETTE,KENZO,S / 36 / 8,2022-04-09,KENZO X H&M LIMITED EDITION BEADED T-SHIRT NEW,40.0,"KENZO X H&M LIMITED EDITION BEADED T-SHIRT
NEW WITH TAGS

BEAUTIFUL BEADING / EMBROIDERY DETAILS 

UNISEX
SIZE S MEN, SIZE M WOMEN"
232,NEUF SANS ÉTIQUETTE,,M / 38 / 10,2022-04-09,T-SHIRT FEMME TAILLE M AVEC DESSIN,8.0,T-SHIRT POUR FEMME DÉCORÉ PAR MOI TAILLE M 8 EUROS
233,NEUF SANS ÉTIQUETTE,MONTEGO,S / 36 / 8,2022-04-09,COOL FLORAL T-SHIRT BY MONTEGO.,14.99,COOL T-SHIRT BY MONTEGO WITH LOVELY FLORAL PATRON. MEASUREMENTS: 59CM LONG MEASURED FROM THE SHOULDER AND 46CM WIDE MEASURED FROM ARMPIT TO ARMPIT. EXTREMELY STRETCHY. IS LABELLED WITH SIZE XS BUT FITS LIKE SIZE S SO THIS IS THE REASON I LISTED IT AS SIZE S. NEW.
234,TRÈS BON ÉTAT,NIKE,L,2022-03-20,T-SHIRT VINTAGE NIKE SWOOSH BLEU MARINE,38.0,"T-SHIRT VINTAGE NIKE SWOOSH BLEU MARINE

TAILLE L

TRÈS BON ÉTAT"
235,TRÈS BON ÉTAT,NIKE,S,2022-04-09,NIKE AIR GRIJS T-SHIRT MAAT S,10.0,BIJNA NIET GEDRAGEN NIKE AIR GRIJS TWEE KLEUREN T-SHIRT MET S .ZEER NETTE STAAT!
236,TRÈS BON ÉTAT,ORCHESTRA,12-18 MOIS / 80-86 CM,2022-04-09,LOT 2 T-SHIRT MANCHES COURTES,2.0,PORTÉ PEU DE FOIS TRÈS BON ÉTAT TAILLE 18M DE CHEZ ORCHESTRA ET OBAIBI
237,TRÈS BON ÉTAT,CHEVIGNON,S,2022-04-09,T-SHIRT CHEVIGNON,22.0,"TSHIRT CHEVIGNON
GRIS FONCÉ CHINÉ
TAILLE S
100% COTON

TRÈS BON ÉTAT, PEU PORTÉ"
238,TRÈS BON ÉTAT,LEVI'S,M / 38 / 10,2022-04-09,T-SHIRT LEVI’S SEM SINAIS DE USO OU IMPERFEIÇÕES,12.0,"T-SHIRT USADA E LAVADA 1 VEZ
TAMANHO M MAS SERVE A L"
239,NEUF AVEC ÉTIQUETTE,MANGO,S / 36 / 8,2022-04-09,T-SHIRT WHITE,12.0,#NEW #MANGO #STREETWEAR #JEANS
240,TRÈS BON ÉTAT,OFF-WHITE,M,2022-04-05,OFF-WHITE T-SHIRT,95.0,"OFF-WHITE T-SHIRT SIZE M
DRAAGT OVERSIZED, DUS VALT TUSSEN MAAT M EN L IN. HET SHIRT IS NIET VAAK GEDRAGEN EN IN GOEDE STAAT. 

ORIGINEEL, DUS GEEN IMITATIE!"
241,NEUF AVEC ÉTIQUETTE,,M / 38 / 10,2022-04-09,T-SHIRT STRASS S/M,16.0,"NOUVEAU T-SHIRT TÊTE DE MORT EN STRASS 

JAMAIS PORTÉ 

JE L’AI EN BLANC ET EN NOIR 16,00€/PIÈCE"
242,TRÈS BON ÉTAT,ZARA,M / 38 / 10,2022-03-23,T SHIRT ZARA,13.0,"T SHIRT TRÈS BON ÉTAT, TROP GRAND POUR MOI
C EST PLUTÔT UN 42"
243,BON ÉTAT,VALENTINO,M,2022-04-03,🔝 VALENTINO T-SHIRT 👕 HAUTE COUTURE 🔝,20.0,"VALENTINO T-SHIRT 👕 HAUTE COUTURE
ARTIGO ESPECIAL.
SPORT.
USADO, MAS COM MUITA VIDA PARA USAR 😁
DEIXOU DE SERVIR 😭"
244,NEUF SANS ÉTIQUETTE,BONPRIX,XL / 42 / 14,2022-03-16,"T-SHIRT PATCHWORK - SAUMON, CRÈME, ABRICOT",5.5,"T-SHIRT CÔTELÉ STYLE PATCHWORK.
MODÈLE COUVRANT LA TAILLE, MANCHES COURTES, COL ROND, BASE DROITE, COUTURES DÉCORATIVES.
DOS UNI
COMPOSITION : COTON 
📍JAMAIS PORTÉ."
245,NEUF AVEC ÉTIQUETTE,ADIDAS,M / 38 / 10,2022-04-03,T-SHIRT ADIDAS,35.0,"T-SHIRT ADIDAS. 
OVERSIZE."
246,NEUF AVEC ÉTIQUETTE,TOMMY HILFIGER,L,2022-03-21,T-SHIRT TOMMY HILFIGER,32.5,MAAT : L
247,NEUF AVEC ÉTIQUETTE,ELLESSE,L,2022-04-06,T-SHIRT ELLESSE,26.9,MAAT: L
248,TRÈS BON ÉTAT,ROCQUER,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,18.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR"
249,TRÈS BON ÉTAT,LONDON LOOK,L / 40 / 12,2022-04-09,CAMICIA T-SHIRT ROSA / CHEMISE T-SHIRT ROSE,4.0,INDOSSATO POCHE VOLTE
250,TRÈS BON ÉTAT,CACHE CACHE,M / 38 / 10,2022-04-09,T-SHIRT DONNA CACHE CACHE TG. M/L,5.0,"VENDO T-SHIRT DONNA, BIANCA CON DISEGNO SUL DAVANTI. DIETRO È PER METÀ TRASPARENTE. INDOSSATO POCHE VOLTE. OTTIMO STATO. SI ABBINA FACILMENTE A TUTTI I COLORI. 
SE SIETE INTERESSATI ALL'ACQUISTO, PRIMA DI ACQUISTARE CONTATTATEMI PER LE MISURE. 
#CACHECACHE #TSHIRT #WOMAN #SPRING #SUMMER #FEMME #MUJER"
251,TRÈS BON ÉTAT,,S / 36 / 8,2022-04-09,T SHIRT FLEURES TAILLE S,2.0,T SHIRT FLEURES TAILLE S
252,TRÈS BON ÉTAT,GÉMO,3-6 MOIS / 62-68 CM,2022-04-09,T-SHIRT GEMO 6 MOIS,1.0,VENDS T-SHIRT DE LA MARQUE GÉMEAUX TAILLE SIX MOIS TRÈS BON ÉTAT
253,TRÈS BON ÉTAT,MISS CAPTAIN,TAILLE UNIQUE,2022-04-09,T-SHIRT MISS CAPTAIN,13.0,"T-SHIRT BIMATIÈRE, TAILLE 44, MISS CAPTAIN . EXCELLENT ÉTAT. INSCRIPTION AVEC PAILLETTES NACRÉES , TRÈS RAFFINÉES. LOOK MODERNE MAIS CLASSE. QUALITÉ EXTRA."
254,TRÈS BON ÉTAT,BUTTER GOODS,M,2022-03-30,T-SHIRT BUTTER GOODS MAXI LOGO SUL RETRO,25.0,"T-SHIRT NERA DI BUTTER GOODS CON MAXI LOGO SUL RETRO E LOGO POCKET SUL FRONTE.

100% COTONE

DIMENSIONI:

- ASCELLA/ASCELLA 50 CM
- LUNGHEZZA 70 CM
- MANICA 20 CM
- SPALLA 49 CM

L'ETICHETTA RIPORTA TAGLIA M.

OTTIME CONDIZIONI 8/10.

N.B.: TUTTI GLI ARTICOLI SONO VINTAGE E POSSONO AVERE PICCOLE IMPERFEZIONI CHE POSSONO ESSERE STATE TRALASCIATE, COMUNQUE DIFETTI PRINCIPALI SARANNO SEMPRE INDICATI.

🙂 ARTICOLO SELEZIONATO A MANO IN ITALIA

🙂 LAVATO E STERILIZZATO

🙂 SPEDITO IL GIORNO LAVORATIVO SUCCESSIVO ALL’ACQUISTO

--------------------------------

PER ALTRE T-SHIRT DELL'ARMADIO DI RECLAB CLICCA SU

👉🏻 #RECLUBTSHIRT"
255,TRÈS BON ÉTAT,SALSA,XL / 42 / 14,2022-03-23,T SHIRT SALSA,16.0,"T SHIRT IMPECCABLE, JE LE VEND PARSE QUE TROP GRAND POUR MOI"
256,TRÈS BON ÉTAT,ICEBERG,L,2022-04-09,T-SHIRT BY ICEBERG,35.0,"*TOM AND JERRY*
ICE BY ICEBERG T-SHIRT
LIMITED EDITION
SIZE: L
A= 49CM (WIDTH)
B= 67CM (LENGTH)
HOW -COOL- IS THIS SHIRT FOR THE SUMMER OF 2022"
257,TRÈS BON ÉTAT,H&M,S / 36 / 8,2022-04-09,GESTREEPT T-SHIRT H&M,4.0,GESTREEPT T-SHIRT MET TEKST L'AMOUR IN HET ROOD. A-LIJN MODEL.
258,BON ÉTAT,AZZARO,S,2022-04-09,LOTS T-SHIRT,30.0,"TAILLE S 
ZARA 
AZZARO"
259,NEUF AVEC ÉTIQUETTE,TUNSECHY,S,2022-04-09,T-SHIRT COMPRESSION IRON MAN,20.0,"T-SHIRT NEUF, JAMAIS DÉBALLÉ.
TAILLE S."
260,NEUF SANS ÉTIQUETTE,MAJE,XS,2022-04-09,T SHIRT MAJE,30.0,"T SHIRT RAYÉ NOIR ET BLANC MAJE 
AVEC LACETS NOIRS DE CHAQUE CÔTÉ 
JAMAIS PORTÉ 
TAILLE 2 (MAIS PRÈS DU CORPS, TROP CINTRÉ POUR MOI, IL TAILLE TRÈS PETIT, JE LE CLASSE DU COUP EN « XS »)"
261,TRÈS BON ÉTAT,SANDRO,L,2022-04-03,BLAUW LINNEN SANDRO T-SHIRT,35.0,"LINNEN, MIDDENBLAUW, MAAT L.

ZO GOED ALS NIEUW."
262,TRÈS BON ÉTAT,MY LITTLE COZMO,6-9 MOIS / 68-74 CM,2022-04-04,"T-SHIRT MY LITTLE COZMO, 6 TOT 9MAAND",8.0,ZWART T-SHIRT VAN MY LITTLE COZMO. MOOIE STAAT. VALT BREED. SUPER LEUK TE COMBINEREN MET SHIRTJES OF TUINBROEK VAN LITTLE INDIANS IN MIJN KLEDINGKAST OF DE BLOOMERS VAN COS I SAID SO!
263,TRÈS BON ÉTAT,TAPE À L'ŒIL,12-18 MOIS / 80-86 CM,2022-04-09,T-SHIRT TAO,2.0,"MANCHES COURTES, MARQUE TAPE À L'OEIL.
TAILLE 18M
#LMAGARÇON18MOIS
TOUS LES # DANS 'A PROPOS'"
264,NEUF AVEC ÉTIQUETTE,FIGA.SHOP,L,2022-03-20,T-SHIRT,15.0,T-SHIRT CON STAMPA SONO DA EVITARE NUOVA MAI USATA ORIGINALE
265,NEUF AVEC ÉTIQUETTE,FIGASHOP MILANO,L / 40 / 12,2022-04-07,T-SHIRT,15.0,T-SHIRT CON STAMPA SONO DA EVITARE MOLTO SIMPATICA
266,NEUF AVEC ÉTIQUETTE,NIKE,L,2022-03-26,T-SHIRT NIKE,15.0,"T-SHIRT NIKE TAILLE L
NEUF AVEC ÉTIQUETTES"
267,NEUF SANS ÉTIQUETTE,DSQUARED2,S,2022-04-03,T-SHIRT DSQUARED2,60.0,PAS SOUVENT UTILISÉ
268,NEUF AVEC ÉTIQUETTE,NEW GIRL ORDER,M / 38 / 10,2022-04-04,T-SHIRT,49.0,NIEUW
269,NEUF AVEC ÉTIQUETTE,HERON PRESTON,L,2022-04-04,T-SHIRT HERON PRESTON,90.0,T-SHIRT HERON PRESTON NERA CON PATCH
270,TRÈS BON ÉTAT,IKKS,S,2022-04-09,T-SHIRT IKKS,10.0,"TRÈS JOLI T-SHIRT CLAIR IKKS 
100% VISCOSE. 2 MATIÈRES SUR LE DEVANT
TRÈS AGRÉABLE À PORTER 
EXCELLENT ÉTAT 
TAILLE 36"
271,NEUF SANS ÉTIQUETTE,NIKE,M / 38 / 10,2022-04-09,T-SHIRT,13.0,"JAMAIS PORTÉ

ACHETEZ MOI UN LOT ET JE VOUS FERAI UNE RÉDUCTION 😉"
272,TRÈS BON ÉTAT,SAW,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,18.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR
ORGANIQUE COTTON"
273,TRÈS BON ÉTAT,PHILIPP PLEIN,M,2022-04-01,T-SHIRT PHILIPP PLEIN HOMME,70.0,NUOVA OTTIME CONDIZIONI
274,NEUF SANS ÉTIQUETTE,MAISON KITSUNÉ,S,2022-04-09,T-SHIRT MAISON KITSUNÉ,15.0,"NEW - WITHOUT TAGS

SELLING BECAUSE IS SMALL FOR ME

#MAISONKITSUNE #MAISONKITSUNEPARIS #MAISONKITSUNEFEMME #MAISONKITSUNETEE #MAISONKITSUNEFOX"
275,NEUF SANS ÉTIQUETTE,MONTEGO,S / 36 / 8,2022-04-09,COOL FLORAL T-SHIRT BY MONTEGO.,14.99,COOL T-SHIRT BY MONTEGO WITH LOVELY FLORAL PATRON. MEASUREMENTS: 57CM LONG MEASURED FROM THE SHOULDER AND 46CM WIDE MEASURED FROM ARMPIT TO ARMPIT. EXTREMELY STRETCHY. IS LABELLED WITH SIZE XS BUT FITS LIKE SIZE S SO THIS IS THE REASON I LISTED IT AS SIZE S. NEW. THE RED BLAZER IN ONE OF THE PHOTOS CAN BE PURCHASED SEPARATELY AND CAN BE FOUND ON MY VINTED PAGE.
276,TRÈS BON ÉTAT,,L / 40 / 12,2022-04-09,T-SHIRT MIXTE TAILLE L,8.0,"T-SHIRT BLANC DÉCORÉ PAR MOI AU FEUTRE POUR TISSU,
TAILLE L
LAVAGE 40°"
277,NEUF AVEC ÉTIQUETTE,HUGO BOSS,S,2022-04-09,T SHIRT TIRCH BOSS,30.0,"ARTICLE NEUF DANS EMBALLAGE 
PRIX NON NÉGOCIABLE"
278,TRÈS BON ÉTAT,MARVEL,24-36 MOIS / 92-98 CM,2022-04-09,T-SHIRT MARVEL SPIDERMAN,1.0,TRÈS BON ÉTAT TAILLE 3 ANS T-SHIRT MANCHES COURTE MARVEL
279,TRÈS BON ÉTAT,ROCQUER,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,18.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR"
280,TRÈS BON ÉTAT,MARVEL,24-36 MOIS / 92-98 CM,2022-04-09,T-SHIRT MARVEL SPIDERMAN,1.0,TRÈS BON ÉTAT TAILLE 3 ANS T-SHIRT MANCHES COURTE MARVEL
281,TRÈS BON ÉTAT,ROCQUER,L,2022-04-09,T-SHIRT IMPRIMÉ NUMÉRIQUE,18.0,"TAILLE L
OVERSIZE
SPORTS VESTE
STREETWEAR"
282,TRÈS BON ÉTAT,ICEBERG,XL,2022-04-09,T-SHIRT BY ICEBERG,25.0,"*PLUTO*
ICE BY ICEBERG T-SHIRT (DISNEY EDITION)
SIZE: XL (SMALL SIZED)
A= 51CM (WIDTH)
B= 70CM (LENGTH)
HOW -COOL- IS THIS SHIRT FOR THE SUMMER OF 2022"
283,NEUF AVEC ÉTIQUETTE,FILA,L,2022-04-09,T-SHIRT FILA,25.0,MAAT: L
284,NEUF AVEC ÉTIQUETTE,TWIGGY,XL,2022-04-09,T-SHIRT CALIFORNICATION DE LA MARQUE FRANÇAISE TWIGGY ビストロ,35.0,"DANS SA PORSCHE EN IMPRESSION 4 COULEURS.
PRIX 50€
SÉRIE LIMITÉE.
CALIFORNICATION
SÉRIE TÉLÉVISÉE CULTE DES ANNÉES 2000.
TOURNÉE EN CALIFORNIE PRINCIPALEMENT DANS LE QUARTIER DE SANTA MONICA AVEC SON PERSONNAGE PRINCIPAL HANK MOODY ROMANCIER DÉLURÉ, IRRESPONSABLE, CYNIQUE RECHERCHE DÉSESPÉRÉMENT À RECONQUÉRIR SA FEMME KAREN.
AVEC DES PERSONNAGES AUSSI DÉLIRANT QUE LUI.
SI VOUS NE CONNAISSEZ PAS À VOIR ABSOLUMENT 😉.
COLLABORATION TWIGGY ビストロ X TIMOTHÉ CAMARA"
